objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587750860901322841,7243,40,2,116,4185,6,112.40675439,-13.95114544,27.012732,23.55464,22.575483,21.668304,21.185238,0.42041,0.351492,0.216681,0.117995,0.339253
587750860901322850,7243,40,2,116,4194,6,112.40123482,-13.93426248,25.411226,25.93836,22.440615,21.250385,20.040911,1.520665,0.570595,0.18953,0.080641,0.125317
587750955390403431,7265,40,2,113,871,6,112.34293015,-13.91064637,21.294392,19.813797,19.096771,18.802555,18.502872,0.268004,0.020776,0.016614,0.01548,0.03929
587750955390403535,7265,40,2,113,975,6,112.3639061,-13.91055367,19.338072,17.824314,17.215054,16.972027,16.769274,0.05193,5.933661E-3,5.082477E-3,4.768285E-3,0.01044
587750955390404156,7265,40,2,113,1596,6,112.29797956,-13.94184337,20.700176,19.125326,18.406315,18.087404,17.926756,0.162599,0.012855,0.010169,9.40985E-3,0.024803
587750955390404157,7265,40,2,113,1597,6,112.29968329,-13.94058702,22.13032,19.993053,18.880363,18.451937,18.125736,0.607541,0.025314,0.014857,0.012911,0.030903
587750955390404265,7265,40,2,113,1705,6,112.31498413,-13.92221668,19.542854,18.060049,17.563862,17.381556,17.228146,0.060611,6.790618E-3,6.190295E-3,5.996146E-3,0.014546
587750955390404443,7265,40,2,113,1883,6,112.33961536,-13.91025249,21.757025,20.274607,19.505806,19.121817,18.775091,0.404597,0.029605,0.022846,0.020148,0.049256
587750955390404507,7265,40,2,113,1947,6,112.35257237,-13.90946482,21.268764,19.454014,18.706381,18.429293,18.142132,0.264062,0.016007,0.012489,0.01164,0.028998
587750955390404601,7265,40,2,113,2041,6,112.37087132,-13.91218831,20.68784,18.847048,18.080112,17.785152,17.527321,0.160041,0.010713,8.367094E-3,7.518822E-3,0.017987
587750955390404602,7265,40,2,113,2042,6,112.37075072,-13.91336203,22.353212,20.627998,19.623423,19.177477,18.751284,0.696582,0.040369,0.026199,0.021025,0.048175
587750955390404603,7265,40,2,113,2043,3,112.37253533,-13.91205074,23.098326,21.810205,20.049749,19.321209,18.893698,1.328754,0.10959,0.037099,0.023774,0.055358
587750955390404784,7265,40,2,113,2224,6,112.29683476,-13.94771466,21.183683,19.743139,19.092413,18.792166,18.58905,0.247787,0.019855,0.016873,0.015951,0.04232
587750955390405022,7265,40,2,113,2462,6,112.29258558,-13.9558613,26.827761,21.502897,19.782578,18.860861,18.137615,0.732874,0.089445,0.030888,0.018064,0.031673
587750955390405023,7265,40,2,113,2463,6,112.29346177,-13.95491596,22.94202,21.696081,20.537632,20.228182,19.825174,1.154434,0.09806,0.05446,0.053062,0.124692
587750955390405103,7265,40,2,113,2543,6,112.32237566,-13.91769826,21.987642,20.701391,19.713345,19.349133,19.010469,0.501392,0.041898,0.026975,0.02436,0.060402
587750955390405182,7265,40,2,113,2622,6,112.35006544,-13.91055118,22.273247,21.067949,20.243765,19.850847,19.682051,0.640117,0.056691,0.042175,0.037009,0.108537
587750955390405337,7265,40,2,113,2777,6,112.30634985,-13.93154189,23.915983,24.270802,21.214951,20.419085,19.637955,2.284802,0.820333,0.097435,0.061307,0.104468
587750955390405350,7265,40,2,113,2790,6,112.3191086,-13.91767186,25.885859,22.237429,20.992466,20.517256,19.828501,1.530621,0.156991,0.080344,0.066541,0.123434
587750955390405429,7265,40,2,113,2869,6,112.30270787,-13.93300438,26.105373,23.996199,21.627045,20.35882,19.665176,1.288424,0.687147,0.140918,0.058414,0.107241
