objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587732156849652388,2888,40,3,25,676,6,114.59986529,21.57418028,25.641222,21.47249,19.791866,19.043066,18.642408,0.640081,0.05288,0.018529,0.014122,0.032338
587732156849652389,2888,40,3,25,677,6,114.59801231,21.57461224,21.389885,20.372236,19.928223,19.704172,19.696379,0.113688,0.022824,0.020339,0.022057,0.074961
587732156849652386,2888,40,3,25,674,6,114.59735179,21.57660106,20.469103,18.631605,17.9298,17.668438,17.54365,0.056141,8.005031E-3,6.61835E-3,7.028737E-3,0.01513
587732156849652390,2888,40,3,25,678,6,114.59612646,21.57361595,24.406776,25.114866,21.466707,19.898769,19.185452,0.946316,0.691997,0.075084,0.025883,0.051358
587732156849652391,2888,40,3,25,679,6,114.59651267,21.57475495,25.754702,24.576204,23.73889,21.836502,20.83465,0.586936,0.581922,0.446019,0.125061,0.196317
587732156849654242,2888,40,3,25,2530,6,114.60052251,21.57251491,26.271749,26.986879,23.16876,21.543865,20.961813,0.420705,0.238572,0.320334,0.108147,0.23935
587732156849652250,2888,40,3,25,538,6,114.5952535,21.56859366,16.154232,14.868434,15.267868,15.323248,13.375826,6.314042E-3,4.84193E-3,0.011886,0.012951,5.07519E-3
587732156849652251,2888,40,3,25,539,6,114.60444364,21.56949839,15.577147,14.404946,14.129024,18.749586,14.041527,4.493787E-3,3.231054E-3,3.650696E-3,0.026829,4.182646E-3
587732156849652269,2888,40,3,25,557,6,114.59870532,21.56862183,16.673422,15.547103,15.248726,15.130013,15.134704,6.644559E-3,3.540336E-3,3.93866E-3,4.399242E-3,5.136156E-3
587732156849652270,2888,40,3,25,558,6,114.59853824,21.56992107,16.984102,15.838134,15.572298,15.39434,15.377772,7.637767E-3,3.613801E-3,4.106498E-3,4.511362E-3,5.491005E-3
587732156849652274,2888,40,3,25,562,6,114.60485611,21.5768124,16.851015,15.753252,15.484304,15.400882,15.413428,6.987621E-3,3.482289E-3,3.827406E-3,4.33076E-3,5.437814E-3
587732156849652383,2888,40,3,25,671,6,114.59378472,21.57420954,15.966548,14.814157,14.581951,14.515829,14.545838,5.068652E-3,3.311681E-3,3.736494E-3,4.270316E-3,4.47851E-3
587732156849652384,2888,40,3,25,672,6,114.5950909,21.5731014,17.231207,16.108553,15.821998,15.715774,15.733458,8.427969E-3,3.772379E-3,4.085947E-3,4.632143E-3,6.165765E-3
587732156849652387,2888,40,3,25,675,6,114.59584526,21.5757443,21.061232,19.081675,18.2766,17.970119,17.835276,0.087327,0.010058,7.653733E-3,7.925426E-3,0.018278
587732156849652253,2888,40,3,25,541,6,114.59946903,21.58125392,15.997953,14.79387,14.448189,14.409487,14.464613,5.306412E-3,3.450264E-3,3.852979E-3,4.477599E-3,4.711063E-3
587732156849652255,2888,40,3,25,543,6,114.60840978,21.57428419,15.757511,14.623029,14.364788,14.286496,14.291967,4.755237E-3,3.316223E-3,3.740433E-3,4.246042E-3,4.31608E-3
